Id,Title,Senior,Company,Location,Salary,Currency,date
1.0,Senior Data Engineer,True,Develocraft,Zdalnie    +1,23 000  – 28 500  PLN,PLN,01.08.2023
2.0,AI SCIENTIST,False,InPhoTech,Ołtarzew    +1,30 000  – 40 000  PLN,PLN,01.08.2023
3.0,AI Developer,False,lemon.io,Zdalnie    +1,20 405  – 40 810  PLN,PLN,01.08.2023
4.0,Machine Learning Engineer,False,Quickchat AI,Warszawa,12 243  – 24 486  PLN,PLN,01.08.2023
5.0,Programista C++ 17/20,False,Techmo Sp. z o.o.,Kraków,13 000  – 23 000  PLN,PLN,01.08.2023
6.0,Computer Vision Engineer,False,Spline,Zdalnie,22 000  – 25 000  PLN,PLN,01.08.2023
7.0,Remote Mid ML Engineer,False,Centralny Ośrodek Informatyki,Zdalnie    +1,14 000  – 28 000  PLN,PLN,01.08.2023
8.0,Senior AI Software Engineer,True,Fourthwall,Zdalnie    +1,22 500  – 37 000  PLN,PLN,01.08.2023
9.0,Remote Mid AI&amp;ML Data Scientist,False,Centralny Ośrodek Informatyki,Zdalnie    +1,14 000  – 28 000  PLN,PLN,01.08.2023
10.0,Remote Mid ML Engineer,False,Centralny Ośrodek Informatyki,Zdalnie    +1,14 000  – 28 000  PLN,PLN,01.08.2023
11.0,AI Engineer,False,Zone IT Sp. z o.o.,Wrocław,12 000  – 21 000  PLN,PLN,01.08.2023
12.0,Test Engineer AI,False,Zone IT Sp. z o.o.,Wrocław,12 000  – 21 000  PLN,PLN,01.08.2023
13.0,Application Support Engineer,False,Zone IT Sp. z o.o.,Wrocław,12 000  – 21 000  PLN,PLN,01.08.2023
14.0,Java Developer AI,False,Zone IT Sp. z o.o.,Wrocław,12 000  – 22 000  PLN,PLN,01.08.2023
15.0,AI &amp; Math,False,Camino Science sp. z o.o.,Zdalnie    +1,12 000  – 16 000  PLN,PLN,01.08.2023
16.0,Integration Specialist AI,False,Zone IT Sp. z o.o.,Wrocław,12 000  – 21 000  PLN,PLN,01.08.2023
17.0,AI &amp; Math (PhD/ongoing PhD nice-to-have),False,Camino Science sp. z o.o.,Zdalnie    +1,15 000  – 25 000  PLN,PLN,01.08.2023
18.0,Senior AI Engineer,True,Vestigit,Wrocław,23 000  – 30 000  PLN,PLN,01.08.2023
19.0,Mid AI Engineer,False,Vestigit,Wrocław,17 000  – 24 000  PLN,PLN,01.08.2023
20.0,Senior Machine Learning Engineer,True,Graylight Imaging Sp. zo.o.,Gliwice,12 300  – 19 900  PLN,PLN,01.08.2023
21.0,Senior AI Engineer,True,Vestigit,Wrocław,23 000  – 30 000  PLN,PLN,01.08.2023
22.0,Mid AI Engineer,False,Vestigit,Wrocław,17 000  – 24 000  PLN,PLN,01.08.2023
23.0,Senior Machine Learning Engineer,True,Graylight Imaging Sp. zo.o.,Gliwice,12 300  – 19 900  PLN,PLN,01.08.2023
24.0,Data Scientist/AI Developer,False,Algomine,Zdalnie    +1,13 440  – 25 200  PLN,PLN,01.08.2023
25.0,Applied Scientist (Mid/Senior),True,Infermedica Sp z.o.o,Zdalnie    +1,20 000  – 25 000  PLN,PLN,01.08.2023
26.0,Senior AI Specialist,True,Grupa Morizon-Gratka Sp. z o.o.,Warszawa    +1,14 000  – 20 000  PLN,PLN,01.08.2023
27.0,Mid AI Specialist,False,Grupa Morizon-Gratka Sp. z o.o.,Warszawa    +1,10 000  – 16 000  PLN,PLN,01.08.2023
28.0,Mid AI Engineer,False,Flyps,Zdalnie    +1,18 000  – 24 000  PLN,PLN,01.08.2023
29.0,Junior Machine Learning,False,Mindpal,Zdalnie,8 400  – 11 760  PLN,PLN,01.08.2023
30.0,Junior Machine Learning,False,Mindpal,Zdalnie,8 400  – 11 760  PLN,PLN,01.08.2023
31.0,Data Scientist,False,"Secret Sauce Partners, Inc.",Zdalnie,10 249  – 20 498  PLN,PLN,01.08.2023
32.0,Senior Machine Learning Engineer,True,"Secret Sauce Partners, Inc.",Zdalnie,10 249  – 20 498  PLN,PLN,01.08.2023
33.0,Senior OpenAI &amp; ML Solutions Developer,True,Everguest,"Budapest  , HU",20 498  – 28 470  PLN,PLN,01.08.2023
