Id,Title,Senior,Company,Location,Salary,Currency,date
1.0,Senior Python Computer Vision Engineer,True,Unitem,"Wrocław, PL",15 000  – 20 000  PLN,PLN,01.01.2023
2.0,Senior/Lead Data Scientist,True,Addepto,Zdalnie  + 5,18 480  – 35 280  PLN,PLN,01.01.2023
3.0,Mid/Senior Python AI Engineer,True,Vestigit,"Wrocław, PL",17 000  – 22 000  PLN,PLN,01.01.2023
4.0,AI Developer with ROS,False,Four Point,"Wrocław, PL",15 000  – 28 000  PLN,PLN,01.01.2023
5.0,NLP Developer,False,Talkie.ai,Zdalnie,12 000  – 20 000  PLN,PLN,01.01.2023
6.0,Cloud Apps Engineer,False,ERGO Technology &amp; Services,Zdalnie  + 2,12 000  – 19 000  PLN,PLN,01.01.2023
7.0,Python Developer / ML Engineer,False,hubQuest,Zdalnie  + 1,20 000  – 27 000  PLN,PLN,01.01.2023
8.0,Senior Machine Learning Engineer (NLP),True,Netguru,Zdalnie,18 000  – 26 000  PLN,PLN,01.01.2023
9.0,(Senior) Data Scientist,True,Netguru S.A.,Zdalnie,21 486  – 30 827  PLN,PLN,01.01.2023
10.0,Data Scientist Lead,True,Objectivity,Zdalnie  + 2,30 240  – 38 640  PLN,PLN,01.01.2023
11.0,Cloud Automation Engineer,False,ERGO Technology &amp; Services,Zdalnie  + 2,16 000  – 26 000  PLN,PLN,01.01.2023
12.0,Cloud Solutions Architect,False,Grape Up,"Kraków, PL  + 2",22 100  – 35 700  PLN,PLN,01.01.2023
13.0,Machine Learning Engineer,False,RTB House,Zdalnie  + 1,28 500  – 47 000  PLN,PLN,01.01.2023
14.0,Machine Learning Researcher,False,RTB House,Zdalnie  + 2,28 500  – 47 000  PLN,PLN,01.01.2023
15.0,Cloud DevOps Engineer,False,ERGO Technology &amp; Services,Zdalnie  + 2,16 000  – 26 000  PLN,PLN,01.01.2023
16.0,ML Architect,False,Concentrix,Zdalnie,400 000  – 450 000  PLN,PLN,01.01.2023
17.0,Regular / Senior Data Scientist,True,hubQuest,Zdalnie  + 1,20 000  – 28 500  PLN,PLN,01.01.2023
18.0,AI/ML Data Labeling Manager,False,Focal Systems,Zdalnie,22 000  – 30 000  PLN,PLN,01.01.2023
19.0,Senior Machine Learning NLP Engineer,True,Kinetix Trading Solutions,Zdalnie  + 8,25 000  – 35 000  PLN,PLN,01.01.2023
20.0,AI Researcher,False,Ardigen,"Kraków, PL",9 000  – 18 000  PLN,PLN,01.01.2023
21.0,IT Developer/Scala Developer,False,Flaire,Zdalnie,21 000  – 22 680  PLN,PLN,01.01.2023
22.0,Solution Architect (RPA Developer),False,Devire Sp. z o.o.,Zdalnie  + 1,20 000  – 23 000  PLN,PLN,01.01.2023
23.0,Head of Software Development,False,ATLANT 3D Nanosystems,"Taastrup, DK",37 367  – 51 379  PLN,PLN,01.01.2023
24.0,Machine Learning Operations Engineer,False,Silent Eight,Zdalnie,12 000  – 20 000  PLN,PLN,01.01.2023
25.0,Data Scientist,False,Numlabs,Zdalnie  + 1,10 000  – 15 000  PLN,PLN,01.01.2023
26.0,Python Developer with Computer Vision,False,Numlabs,Zdalnie  + 1,10 000  – 15 000  PLN,PLN,01.01.2023
27.0,Senior Data Scientist,True,InData Labs,Zdalnie,26 382  – 39 573  PLN,PLN,01.01.2023
28.0,Python Developer,False,Ardigen,"Kraków, PL",10 000  – 18 000  PLN,PLN,01.01.2023
29.0,Deep Learning Engineer,False,ReSpo.Vision,"Warszawa, PL",14 000  – 20 000  PLN,PLN,01.01.2023
30.0,Python AI Developer with Robotics Exp.,False,Unitem,"Wrocław, PL",17 000  – 23 000  PLN,PLN,01.01.2023
31.0,Data Engineer,False,Unit8 SA,"Kraków, PL  + 1",22 000  – 26 000  PLN,PLN,01.01.2023
32.0,Junior Python AI Developer,False,Walksee,Zdalnie  + 1,6 000  – 8 000  PLN,PLN,01.01.2023
33.0,Machine Learning Engineer,False,Ardigen,Zdalnie  + 1,13 000  – 25 000  PLN,PLN,01.01.2023
34.0,Junior Cloud Engineer,False,Reply Polska,Zdalnie,5 000  – 9 000  PLN,PLN,01.01.2023
35.0,Mid-Integration developer in AI field,False,Ultinous Zrt.,"Budapest, HU",10 628  – 12 989  PLN,PLN,01.01.2023
