Id,Title,Senior,Company,Location,Currency,date,Salary_min,Salary_max
1,Senior Python Computer Vision Engineer,True,Unitem,Wrocław,PLN,01.01.2023,15 000,20 000
2,Senior/Lead Data Scientist,True,Addepto,Zdalnie  + 5,PLN,01.01.2023,18 480,35 280
3,Mid/Senior Python AI Engineer,True,Vestigit,Wrocław,PLN,01.01.2023,17 000,22 000
4,AI Developer with ROS,False,Four Point,Wrocław,PLN,01.01.2023,15 000,28 000
5,NLP Developer,False,Talkie.ai,Zdalnie,PLN,01.01.2023,12 000,20 000
6,Cloud Apps Engineer,False,ERGO Technology &amp; Services,Zdalnie  + 2,PLN,01.01.2023,12 000,19 000
7,Python Developer / ML Engineer,False,hubQuest,Zdalnie  + 1,PLN,01.01.2023,20 000,27 000
8,Senior Machine Learning Engineer (NLP),True,Netguru,Zdalnie,PLN,01.01.2023,18 000,26 000
9,(Senior) Data Scientist,True,Netguru S.A.,Zdalnie,PLN,01.01.2023,21 486,30 827
10,Data Scientist Lead,True,Objectivity,Zdalnie  + 2,PLN,01.01.2023,30 240,38 640
11,Cloud Automation Engineer,False,ERGO Technology &amp; Services,Zdalnie  + 2,PLN,01.01.2023,16 000,26 000
12,Cloud Solutions Architect,False,Grape Up,Kraków   + 2,PLN,01.01.2023,22 100,35 700
13,Machine Learning Engineer,False,RTB House,Zdalnie  + 1,PLN,01.01.2023,28 500,47 000
14,Machine Learning Researcher,False,RTB House,Zdalnie  + 2,PLN,01.01.2023,28 500,47 000
15,Cloud DevOps Engineer,False,ERGO Technology &amp; Services,Zdalnie  + 2,PLN,01.01.2023,16 000,26 000
16,ML Architect,False,Concentrix,Zdalnie,PLN,01.01.2023,400 000,450 000
17,Regular / Senior Data Scientist,True,hubQuest,Zdalnie  + 1,PLN,01.01.2023,20 000,28 500
18,AI/ML Data Labeling Manager,False,Focal Systems,Zdalnie,PLN,01.01.2023,22 000,30 000
19,Senior Machine Learning NLP Engineer,True,Kinetix Trading Solutions,Zdalnie  + 8,PLN,01.01.2023,25 000,35 000
20,AI Researcher,False,Ardigen,Kraków,PLN,01.01.2023,9 000,18 000
21,IT Developer/Scala Developer,False,Flaire,Zdalnie,PLN,01.01.2023,21 000,22 680
22,Solution Architect (RPA Developer),False,Devire Sp. z o.o.,Zdalnie  + 1,PLN,01.01.2023,20 000,23 000
23,Head of Software Development,False,ATLANT 3D Nanosystems,Taastrup,PLN,01.01.2023,37 367,51 379
24,Machine Learning Operations Engineer,False,Silent Eight,Zdalnie,PLN,01.01.2023,12 000,20 000
25,Data Scientist,False,Numlabs,Zdalnie  + 1,PLN,01.01.2023,10 000,15 000
26,Python Developer with Computer Vision,False,Numlabs,Zdalnie  + 1,PLN,01.01.2023,10 000,15 000
27,Senior Data Scientist,True,InData Labs,Zdalnie,PLN,01.01.2023,26 382,39 573
28,Python Developer,False,Ardigen,Kraków,PLN,01.01.2023,10 000,18 000
29,Deep Learning Engineer,False,ReSpo.Vision,Warszawa,PLN,01.01.2023,14 000,20 000
30,Python AI Developer with Robotics Exp.,False,Unitem,Wrocław,PLN,01.01.2023,17 000,23 000
31,Data Engineer,False,Unit8 SA,Kraków   + 1,PLN,01.01.2023,22 000,26 000
